video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/shorts/6xV0zdXlXd4,/@InspiringStoriesGT,Inspiring Stories,Erin Brockovich: Environmental Activist's Story,No,10 hours,"Leave a like if u like and subscribe. Thank's! ""Erin Brockovich: Environmental Activist's True Story"" highlights the journey of Erin ...",2024-01-27 23:54:41.656516
/watch?v=j4yXEmQRq34&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@MOVIECLIPS,Movieclips,Erin Brockovich (1/10) Movie CLIP - On the Prowl for Papers (2000) HD,1.3M,12 years,CLIP DESCRIPTION: Erin (Julia Roberts) flirts her way into accessing - and copying - PG&E water records. FILM DESCRIPTION: ...,2024-01-27 23:54:41.662877
/watch?v=AZMg4vFcRQs&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@MOVIECLIPS,Movieclips,Two Wrong Feet in Ugly Shoes - Erin Brockovich (7/10) Movie CLIP (2000) HD,2.7M,12 years,CLIP DESCRIPTION: Erin (Julia Roberts) defends her research and puts Theresa (Veanne Cox) in her place by displaying an ...,2024-01-27 23:54:41.664827
/watch?v=o0lpc4ijwoI&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@MsMojo,MsMojo,Top 10 Things Erin Brockovich Got Factually Right & Wrong,425K,3 years,"You might be surprised by the things Erin Brockovich got factually right and wrong. For this list, we'll be looking at what was fact ...",2024-01-27 23:54:41.670029
/watch?v=YrhMyFJzmH4&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@MoviesNMotivation,Movies N Motivation ,Erin Brockovich Movie - Settlement Scene - Part 7 of 7,128K,1 year,Erin Brockovich Movie - Settlement Scene - Part 7 of 7.,2024-01-27 23:54:41.675409
/watch?v=IZm9Vkt1cus&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@scottied67,scottied67,Hinkley California,416,7 years,"You might remember Hinkley CA from the Erin Brockovich movie, of PGE- and Hexavalent Chromium fame.",2024-01-27 23:54:41.680375
/watch?v=GDEA8FdlIfc&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@abc10news,ABC 10 News,Erin Brockovich investigating toxic plume,451,7 years,"El Cajon residents say they're being poisoned ◂ San Diego's News Source - 10News, KGTV, delivers the latest breaking news, ...",2024-01-27 23:54:41.682147
/watch?v=sefMiwgDVos&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@bingesociety,Binge Society ,Erin Brockovich: Double Surprise HD CLIP,3.5M,3 years,"What's happening in this Erin Brockovich movie clip? Erin (Julia Roberts from Pretty Woman, Notting Hill and My Best Friend's ...",2024-01-27 23:54:41.686482
/watch?v=kDfvxJUxL10&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@MOVIECLIPS,Movieclips,Erin Brockovich (3/10) Movie CLIP - Erin Is Re-hired (2000) HD,2M,12 years,"CLIP DESCRIPTION: Erin (Julia Roberts) not only gets her job back, but a raise and benefits too, when Ed (Albert Finney) comes ...",2024-01-27 23:54:41.691210
/watch?v=kFCUCnNKmmI&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@MOVIECLIPS,Movieclips,Erin Brockovich (5/10) Movie CLIP - What One Judge Decides (2000) HD,735K,12 years,"CLIP DESCRIPTION: Erin (Julia Roberts) and Ed (Albert Finney) discuss taking out PG&E corporate, but consider some very real ...",2024-01-27 23:54:41.693520
