video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=NbBV8Irmdj0&pp=ygUmSGlua2xleSBDYWxpZm9ybmlhIHdhdGVyIGNvbnRhbWluYXRpb24%3D,/@ObservantApparition,Observant Apparition,"Hinkley, California: The Town of Toxins Somewhere Ep. 13 (2023)",10K,1 year,"Hinkley, California. A town that got its fifteen minutes of fame from the ""Erin Brockovich"" story. While there is plenty to find about ...",2024-01-27 23:35:29.479344
/watch?v=65Gya0m9xhA&pp=ygUmSGlua2xleSBDYWxpZm9ybmlhIHdhdGVyIGNvbnRhbWluYXRpb24%3D,/@ABCNews,ABC News,Single-mother Erin Brockovich spotlights a water crisis in a California town: Part 1,107K,2 years,"Brockovich became a household name after she publicized the water crisis in Hinkley, California. She faced Pacific Gas & Electric ...",2024-01-27 23:35:29.488171
/watch?v=OhDCTBqlkVM&pp=ygUmSGlua2xleSBDYWxpZm9ybmlhIHdhdGVyIGNvbnRhbWluYXRpb24%3D,/@ABCNews,ABC News,"Despite the movie’s finale, the real town of Hinkley had no happy ending: Part 3",142K,2 years,Residents said they face major health concerns after being exposed to contaminated water. PG&E is continuing its remediation ...,2024-01-27 23:35:29.490801
/watch?v=MXkzCM8MiFg&pp=ygUmSGlua2xleSBDYWxpZm9ybmlhIHdhdGVyIGNvbnRhbWluYXRpb24%3D,/@reveal,Reveal,Did Erin Brockovich fix Hinkley’s water pollution? The Aftermath series,72K,6 years,The 2000 film “Erin Brockovich” seemed like a successful David versus Goliath story. A single mom of three took on PG&E for ...,2024-01-27 23:35:29.493416
/watch?v=T7uKgPY4MQU&pp=ygUmSGlua2xleSBDYWxpZm9ybmlhIHdhdGVyIGNvbnRhbWluYXRpb24%3D,/@OutAllDay,Out All Day,"Hinkley, CA | The WATER is TOXIC! ☠️🤮🤢 // Exploring this nearly abandoned town.",1.2K,1 year,"Took a road trip to the town of Hinkley, Ca Really sad and wasted land. Hinkley is an unincorporated community in the Mojave ...",2024-01-27 23:35:29.498921
/watch?v=msawGzg1e-4&pp=ygUmSGlua2xleSBDYWxpZm9ybmlhIHdhdGVyIGNvbnRhbWluYXRpb24%3D,/@Wonderhussy,Wonderhussy Adventures,"Exploring the Semi-Abandoned Town of Hinkley, CA",50K,7 years,"Exploring a lonely, poisoned desert town that was the subject of the movie Erin Brockovich. Most of the residents left after winning ...",2024-01-27 23:35:29.502277
/watch?v=C029muI7bFw&pp=ygUmSGlua2xleSBDYWxpZm9ybmlhIHdhdGVyIGNvbnRhbWluYXRpb24%3D,/@tomhuntthinkmissions4005,Tom Hunt Think Missions,Erin Brockovich Clip on Water,362K,4 years,Is the water you are drinking safe to drink? How do you know? It looks clean. It smells clean. But is it clean? Are you sure?,2024-01-27 23:35:29.503998
/watch?v=5ySZ30b1dJo&pp=ygUmSGlua2xleSBDYWxpZm9ybmlhIHdhdGVyIGNvbnRhbWluYXRpb24%3D,/@walterreinke7217,Walter Reinke,"PG&E Water Contamination in Hinkley, California",9.4K,5 years,"Video created by Walter R, Josh F, and Thomas P.",2024-01-27 23:35:29.515911
/watch?v=n7Knz8MHsTU&pp=ygUmSGlua2xleSBDYWxpZm9ybmlhIHdhdGVyIGNvbnRhbWluYXRpb24%3D,/@CNN,CNN,CNN: 'Erin Brockovich' town still poisoned,40K,13 years,"The citizens of Hinkley, California, made famous by a Julia Roberts movie, are still plagued with toxic pollution.",2024-01-27 23:35:36.747741
/watch?v=9YbT7YkyYHQ&pp=ygUmSGlua2xleSBDYWxpZm9ybmlhIHdhdGVyIGNvbnRhbWluYXRpb24%3D,/@julialaskaris7414,Julia Laskaris,"Ground Water Contamination in Hinkley, California Presentation",379,1 year,PG&E's actions leading to severe Cr 6 contamination and the resulting effects.,2024-01-27 23:35:36.749713
/watch?v=7NPjHHgW-5E&pp=ygUmSGlua2xleSBDYWxpZm9ybmlhIHdhdGVyIGNvbnRhbWluYXRpb24%3D,/@rosieokelly,Rosie O'Kelly,What Became of the Tragic Town That Made Erin Brockovich Famous? (And Rich!),10K,2 years,"In this video, I visited Hinkley, California, a fast disappearing town at the heart of one of the biggest groundwater pollution cases in ...",2024-01-27 23:35:36.761993
/watch?v=tN85swq288U&pp=ygUmSGlua2xleSBDYWxpZm9ybmlhIHdhdGVyIGNvbnRhbWluYXRpb24%3D,/@hellointernet5831,Hello Internet,Learning About Hinkley's Poisoned Water -- Erin Brockovich,437K,9 years,A powerful scene from the Oscar-winning movie Erin Brockovich.,2024-01-27 23:35:36.763333
/watch?v=mWae__xM46o&pp=ygUmSGlua2xleSBDYWxpZm9ybmlhIHdhdGVyIGNvbnRhbWluYXRpb24%3D,/@ColbertLateShow,The Late Show with Stephen Colbert,Erin Brockovich Explains The Flint Water Crisis,572K,7 years,"Erin Brockovich stops by to explain the water crisis in Flint, Michigan, which she has been investigating for over a year.",2024-01-27 23:35:36.764782
/watch?v=v0_aPnWJQiI&pp=ygUmSGlua2xleSBDYWxpZm9ybmlhIHdhdGVyIGNvbnRhbWluYXRpb24%3D,/@tortytube4403,TortyTube,Erin Brockovich and the Toxicity of Chromium VI,3.5K,6 years,"Based on a true story, Erin Brockovich is a movie about a legal assistant who discovers that a utility giant is tainting the water ...",2024-01-27 23:35:36.768364
/watch?v=HUS5Qq7FTGY&pp=ygUmSGlua2xleSBDYWxpZm9ybmlhIHdhdGVyIGNvbnRhbWluYXRpb24%3D,/@ABCNews,ABC News,Erin Brockovich says her background gave her thick skin and determination: Part 2,155K,2 years,Brockovich faced many challenges in life that shaped her into who she is today. She became a celebrity after actress Julia ...,2024-01-27 23:35:36.769766
/watch?v=cpGyE-Tn4vw&pp=ygUmSGlua2xleSBDYWxpZm9ybmlhIHdhdGVyIGNvbnRhbWluYXRpb24%3D,/@yasili5881,Yasi Li,Hinkley Water Contamination,96,3 years,Class project from NYU GPH GU 2153_03 Global Environmental Health SPR 2020 with Professor Andrew Burgie.,2024-01-27 23:35:36.771022
/watch?v=QtHeDX0EoaE&pp=ygUmSGlua2xleSBDYWxpZm9ybmlhIHdhdGVyIGNvbnRhbWluYXRpb24%3D,/@PBSNewsHour,PBS NewsHour,Science for Sale,34K,10 years,"In part one of a two-part series, PBS NewsHour Science Correspondent Miles O'Brien travels to Hinkley, CA -- the town whose ...",2024-01-27 23:35:36.786037
/watch?v=xm362UPrQq4&pp=ygUmSGlua2xleSBDYWxpZm9ybmlhIHdhdGVyIGNvbnRhbWluYXRpb24%3D,/@encampist,Encampist Adventures,"Exploring abandoned homes and buildings in Hinkley, California",5.3K,11 months,"Encampist is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to provide a ...",2024-01-27 23:35:43.283261
/watch?v=S5mZryJtv2E&pp=ygUmSGlua2xleSBDYWxpZm9ybmlhIHdhdGVyIGNvbnRhbWluYXRpb24%3D,/@GrahamCrakerHead,John Graham Parker,Hinkley Groundwater Contamination,690,9 years,AP Environmental Project.,2024-01-27 23:35:43.286375
/watch?v=UiyGig6VOY4&pp=ygUmSGlua2xleSBDYWxpZm9ybmlhIHdhdGVyIGNvbnRhbWluYXRpb24%3D,/@cbs8sandiego,CBS 8 San Diego,Interactive map shows how much 'Erin Brockovich' chemical is in San Diego County’s water supply,2.3K,1 year,How safe is your drinking water? California wants to put a limit on how much of a cancer-causing contaminant is allowed in our ...,2024-01-27 23:35:43.287636
/watch?v=4fF2qQatiFs&pp=ygUmSGlua2xleSBDYWxpZm9ybmlhIHdhdGVyIGNvbnRhbWluYXRpb24%3D,/@HappinessTravelz,Happiness Travelz,"ABANDONED HINKLEY, CA (ERIN BROCKOVICH) / FULLTIME RV LIVING / BORAX VISITOR CENTER / VLOG",1.4K,2 years,"HTDV 2 - WE VISIT AN ABANDONED COMMUNITY (LOST PART OF THE VIDEO FILE), THEN VISIT THE BORAX VISITER ...",2024-01-27 23:35:43.288868
/shorts/6xV0zdXlXd4,/@InspiringStoriesGT,Inspiring Stories,Erin Brockovich: Environmental Activist's Story,No,10 hours,"Leave a like if u like and subscribe. Thank's! ""Erin Brockovich: Environmental Activist's True Story"" highlights the journey of Erin ...",2024-01-27 23:35:43.289871
/watch?v=2icJoB26P8o&pp=ygUmSGlua2xleSBDYWxpZm9ybmlhIHdhdGVyIGNvbnRhbWluYXRpb24%3D,/@SkeptoidMedia,Skeptoid Media,Hinkley: The Erin Brockovich Case,596,2 years,"In the year 2000, the movie Erin Brockovich told the world the true story of a heroic whistleblower, in the person of a humble ...",2024-01-27 23:35:43.290689
/watch?v=kOPYp4oS_N8&pp=ygUmSGlua2xleSBDYWxpZm9ybmlhIHdhdGVyIGNvbnRhbWluYXRpb24%3D,/@linxvisual,linxvisual,Hinkley Chromium Remediation,1.5K,11 years,... trying hard this new household water program that they have is actually decoupling our community from the contaminated water ...,2024-01-27 23:35:43.291673
/watch?v=fnov8Rat_SY&pp=ygUmSGlua2xleSBDYWxpZm9ybmlhIHdhdGVyIGNvbnRhbWluYXRpb24%3D,/@cbssf,KPIX | CBS NEWS BAY AREA,Pt. 2: California Town's Water Tainted With Arsenic,792,7 years,A Central Valley town's water supply has been contaminated with arsenic - for decades. Allen Martin reports. (5/15/16),2024-01-27 23:35:43.292558
/watch?v=6cQjqwseg7I&pp=ygUmSGlua2xleSBDYWxpZm9ybmlhIHdhdGVyIGNvbnRhbWluYXRpb24%3D,/@findanswerswjosiahdavis7951,FIND ANSWERS! w/ Josiah Davis,How accurate was the movie Erin Brockovich?,6,7 months,Discover the Truth Behind Erin Brockovich: Was the Movie Accurate? Find out in this captivating video as we delve into the ...,2024-01-27 23:35:43.293410
/watch?v=WNX-4t6xyZM&pp=ygUmSGlua2xleSBDYWxpZm9ybmlhIHdhdGVyIGNvbnRhbWluYXRpb24%3D,/@bingesociety,Binge Society ,Erin Brockovich: Twenty-eight Billion Dollars HD CLIP,5.6M,3 years,"What's happening in this Erin Brockovich movie clip? Erin (Julia Roberts from Pretty Woman, Notting Hill and My Best Friend's ...",2024-01-27 23:35:43.296397
/watch?v=T0jVacwA6j0&pp=ygUmSGlua2xleSBDYWxpZm9ybmlhIHdhdGVyIGNvbnRhbWluYXRpb24%3D,/@CNBCtelevision,CNBC Television,PG&E using bankruptcy to get out of liability: Erin Brockovich,10K,5 years,"CNBC's Aditi Roy sits down with Erin Brockovich, consumer advocate and environmental activist, to talk about her protest against ...",2024-01-27 23:35:43.297320
/watch?v=BGX4nMrnxg0&pp=ygUmSGlua2xleSBDYWxpZm9ybmlhIHdhdGVyIGNvbnRhbWluYXRpb24%3D,/@MOVIECLIPS,Movieclips,A Lame-Ass Offer - Erin Brockovich (6/10) Movie CLIP (2000) HD,2.8M,12 years,"CLIP DESCRIPTION: When the PG&E lawyers present an offensively low settlement offer, Erin (Julia Roberts) makes them wish ...",2024-01-27 23:35:43.298219
/watch?v=0wVgg5t2LAM&pp=ygUmSGlua2xleSBDYWxpZm9ybmlhIHdhdGVyIGNvbnRhbWluYXRpb24%3D,/@MOVIECLIPS,Movieclips,Surprise Evidence - Erin Brockovich (9/10) Movie CLIP (2000) HD,2.8M,12 years,CLIP DESCRIPTION: Erin (Julia Roberts) shocks Theresa (Veanne Cox) and Kurt (Peter Coyote) with startling key evidence ...,2024-01-27 23:35:43.299225
/watch?v=tadJai_SC4I&pp=ygUmSGlua2xleSBDYWxpZm9ybmlhIHdhdGVyIGNvbnRhbWluYXRpb24%3D,/@PBSNewsHour,PBS NewsHour,Protecting Americans From Danger in the Drinking Water,62K,10 years,"The town of Hinkley, Calif., had a Hollywood moment when its battle with chromium-6 tainted water was made into the film ""Erin ...",2024-01-27 23:35:43.300695
/watch?v=UPPWGrLGqfY&pp=ygUmSGlua2xleSBDYWxpZm9ybmlhIHdhdGVyIGNvbnRhbWluYXRpb24%3D,/@inlandnewspapers,inlandnewspapers,Hinkley: Owner of town's only business holds off on the inevitable -- closing the store,5.2K,10 years,"Ali Abu Hantash, Hinkley store owner.",2024-01-27 23:35:43.302896
/watch?v=LQ1isbUDYAw&pp=ygUmSGlua2xleSBDYWxpZm9ybmlhIHdhdGVyIGNvbnRhbWluYXRpb24%3D,/@allaboutwaterfilters2087,AllAboutWaterFilters,8 Major Water Contamination Disasters,2K,6 years,8 Major Water Contamination Disasters Discover water contamination disasters that happen in our everyday world 1.,2024-01-27 23:35:43.303841
/watch?v=o0lpc4ijwoI&pp=ygUmSGlua2xleSBDYWxpZm9ybmlhIHdhdGVyIGNvbnRhbWluYXRpb24%3D,/@MsMojo,MsMojo,Top 10 Things Erin Brockovich Got Factually Right & Wrong,425K,3 years,"You might be surprised by the things Erin Brockovich got factually right and wrong. For this list, we'll be looking at what was fact ...",2024-01-27 23:35:43.305300
/watch?v=dJhEiCOzCBQ&pp=ygUmSGlua2xleSBDYWxpZm9ybmlhIHdhdGVyIGNvbnRhbWluYXRpb24%3D,/@TheView,The View,Erin Brockovich On Her Fight For Communities Impacted By Our National Water Crisis | The View,57K,9 months,"Ray Romano on making his directorial debut with new film, 'Somewhere in Queens' Subscribe to our YouTube channel: ...",2024-01-27 23:35:43.306208
/watch?v=A870PJ61geY&pp=ygUmSGlua2xleSBDYWxpZm9ybmlhIHdhdGVyIGNvbnRhbWluYXRpb24%3D,/@cbs8sandiego,CBS 8 San Diego,Rynor Report | Millions of Californian's drinking unsafe water,12K,1 year,New audit report found that there's an additional million people on the verge of drinking contaminated water as well in CA.,2024-01-27 23:35:43.307152
/watch?v=Ev84eUpDDPw&pp=ygUmSGlua2xleSBDYWxpZm9ybmlhIHdhdGVyIGNvbnRhbWluYXRpb24%3D,/@bibindala6740,Bibi Ndala,Hinkley Groundwater Water plume,63,5 years,Ground water chromium plum Hinkley California most of us know the city of Hinkley California because of the movie Erin ...,2024-01-27 23:35:51.188005
