video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=FEA6BQARqE8&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@60minutes,60 Minutes,Killing cancer with a breakthrough therapy | 60 Minutes Full Episodes,3.2M,10 months,"From 2015, Scott Pelley's report on brain cancer patients that are in clinical trials of a therapy that uses a re-engineered polio virus ...",2024-01-27 23:52:09.336061
/watch?v=pvA2PWQsPeM&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@AdamJacobson08,Adam Jacobson,Inspired by Erin Brockovich - Midland Co. Residents File Lawsuit Against Schlumberger,2.2K,13 years,"Almost two years after hexavalent chromium was discovered around County Road 112 in Midland County, residents say the ...",2024-01-27 23:52:09.338168
/watch?v=CxZ5G1NjjSo&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@OncLiveTV,OncLiveTV,Dr. O'Reilly Discusses Biomarker Research in Pancreatic Cancer,224,5 years,"Eileen O'Reilly, MD, associate director for clinical research at Memorial Sloan Kettering Cancer Center discusses biomarker ...",2024-01-27 23:52:09.343634
/watch?v=YYLWeijZMXM&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@JonWaite,Jon Waite,Erin Brokovich: the movie - meeting with the Hinkley folks,485K,10 years,Erin Brokovich: the movie - meeting with the Hinkley folks. One line in here says it all about empathy and securing relationships ...,2024-01-27 23:52:09.345782
/watch?v=BGX4nMrnxg0&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@MOVIECLIPS,Movieclips,A Lame-Ass Offer - Erin Brockovich (6/10) Movie CLIP (2000) HD,2.8M,12 years,"CLIP DESCRIPTION: When the PG&E lawyers present an offensively low settlement offer, Erin (Julia Roberts) makes them wish ...",2024-01-27 23:52:09.347655
/watch?v=tadJai_SC4I&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@PBSNewsHour,PBS NewsHour,Protecting Americans From Danger in the Drinking Water,62K,10 years,"The town of Hinkley, Calif., had a Hollywood moment when its battle with chromium-6 tainted water was made into the film ""Erin ...",2024-01-27 23:52:09.355409
/watch?v=635oCJfBfhc&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@californiadialogueoncancer1401,California Dialogue on Cancer,CDOC: Cancer Burden in California,51,1 month,This webinar provides an overview of the burden of cancer in California. It is the first step in helping to identify areas of focus for ...,2024-01-27 23:52:09.357100
/watch?v=msawGzg1e-4&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@Wonderhussy,Wonderhussy Adventures,"Exploring the Semi-Abandoned Town of Hinkley, CA",50K,7 years,"Exploring a lonely, poisoned desert town that was the subject of the movie Erin Brockovich. Most of the residents left after winning ...",2024-01-27 23:52:09.358709
/watch?v=KNMrGwnfT0w&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@mdanderson,MD Anderson Cancer Center,"Meet geneticist Michael Galko, Ph.D.",181,5 years,Dr. Galko obtained his Ph.D. with Dr. Marc Tessier-Lavigne at the University of California San Francisco. His graduate studies ...,2024-01-27 23:52:09.361218
/watch?v=Fl-VE6NGosg&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@kimberjackshilpetski,kimber jack shilpetski,"Good bye Hinkley, CA, Erin Brockovitch",1.6K,2 years,A look at the Hinkley town ruins left behind by Pacific Gas & Electric after poisoning the groundwater for two decades with cancer ...,2024-01-27 23:52:09.363040
/watch?v=o0lpc4ijwoI&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@MsMojo,MsMojo,Top 10 Things Erin Brockovich Got Factually Right & Wrong,425K,3 years,"You might be surprised by the things Erin Brockovich got factually right and wrong. For this list, we'll be looking at what was fact ...",2024-01-27 23:52:09.364793
/watch?v=AYI_MspVXYM&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@inlandnewspapers,inlandnewspapers,Special Report: Hinkley,947,10 years,'GHOST TOWN: A Proud Town's Future Hangs in The Balance.' THE SUN / Los Angeles News Group special report.,2024-01-27 23:52:16.212540
/watch?v=xm362UPrQq4&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@encampist,Encampist Adventures,"Exploring abandoned homes and buildings in Hinkley, California",5.3K,11 months,"Encampist is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to provide a ...",2024-01-27 23:52:16.213960
/watch?v=Euqo5QNkmJM&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@inlandnewspapers,inlandnewspapers,Hinkley: Roberta Walker's research brought Erin Brockovich to town,4.7K,10 years,"Roberta Walker, Hinkley Interview.",2024-01-27 23:52:16.214875
/watch?v=AoAtBCUM_D0&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@60MinutesAU,60 Minutes Australia,Meet the real Erin Brockovich | 60 Minutes Australia,282K,1 year,Julia Roberts had no doubt. When she played Erin Brockovich in the film Erin Brockovich it was as a bold and brassy single mum ...,2024-01-27 23:52:16.215797
/watch?v=v6RdbeJ6_qQ&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@MedWatchToday,MedWatch Today,Gina Boyd Pancreatic Cancer Patient,584,4 years,Gina Boyd learns to become an advocate for herself and overcomes pancreatic cancer with the help of Dr. Amir Fathi.,2024-01-27 23:52:16.216672
/watch?v=Og_dIVIpbIU&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@wgntv,WGN News,Dr. Streicher Discusses Increase in Cancer in Younger People,349,4 months,Dr. Streicher Discusses Increase in Cancer in Younger People.,2024-01-27 23:52:16.217620
/watch?v=x5DwpRbkEG0&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@abc7news,ABC7 News Bay Area,Oncologist says pancreatic cancer is affecting more Americans,396,4 years,"If something happens that impacts where you live or improves life where you live, ABC7 will be there to share that story. And we ...",2024-01-27 23:52:16.218532
/watch?v=dUQfmIHQqSg&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@BulletAndOctaneFan,BulletAndOctaneFan,Cancer California - In The Mouth Of The Young - Bullets and Octane,19K,15 years,Fifth song from Bullets and Octane's album In The Mouth Of The Young.,2024-01-27 23:52:16.219515
/watch?v=gro5urs9kcU&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@mdanderson,MD Anderson Cancer Center,End Cancer: The Harmon family story,1.5K,10 years,"Danielle Harmon thought she was too young for cancer, but at age 31, she was diagnosed with invasive breast cancer following a ...",2024-01-27 23:52:16.220491
/watch?v=g9jWOUgpjUc&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@ColumbiaMedicine,Columbia University Irving Medical Center,A New Approach to Treating Brain Cancers,2.2K,6 years,The fusion of two adjacent genes can cause cancer by kicking mitochondria into overdrive and increasing the amount of fuel ...,2024-01-27 23:52:16.222286
